# freqs(eV) eps1 eps2
2.070544212309614329e-01 2.432444000000000273e+00 1.060800000000000076e-01
2.082927683507488081e-01 2.438688000000000411e+00 1.062160000000000049e-01
2.095318519453452655e-01 2.448135999999999868e+00 1.032900000000000068e-01
2.107714324648098103e-01 2.457600000000000229e+00 1.003520000000000106e-01
2.120112644204851515e-01 2.467016999999999793e+00 1.005439999999999945e-01
2.132510963761604927e-01 2.473304999999999865e+00 1.006719999999999976e-01
2.144943816637539524e-01 2.482752000000000070e+00 1.008640000000000092e-01
2.157334785075946393e-01 2.492279999999999607e+00 9.789799999999999891e-02
2.169717855784605576e-01 2.501762999999999959e+00 9.808400000000000452e-02
2.182128681634336320e-01 2.508156000000000052e+00 9.503999999999999948e-02
2.194526920599318698e-01 2.517607999999999624e+00 9.839399999999999535e-02
2.206909708670340142e-01 2.523896999999999835e+00 1.016959999999999947e-01
2.219313848013097779e-01 2.530256999999999756e+00 1.018239999999999978e-01
2.231697520215633057e-01 2.536687999999999832e+00 9.876599999999999269e-02
2.244098308260777941e-01 2.546316000000000024e+00 9.575999999999999790e-02
2.256514467796882362e-01 2.552704000000000306e+00 9.588000000000000689e-02
2.268902688866313577e-01 2.559039000000000286e+00 9.920000000000001039e-02
2.281301748603439261e-01 2.565443000000000140e+00 9.932400000000000950e-02
2.293709761222105792e-01 2.571855000000000224e+00 9.944800000000000861e-02
2.306124796478986050e-01 2.578336000000000183e+00 9.636000000000000121e-02
2.318501522797137282e-01 2.584764000000000284e+00 9.647999999999999632e-02
2.330924168244622452e-01 2.591200000000000170e+00 9.660000000000000531e-02
2.343303485789070273e-01 2.597583000000000197e+00 9.994400000000000506e-02
2.355680715783168011e-01 2.604035000000000100e+00 1.000680000000000042e-01
2.368098927211775562e-01 2.610495000000000232e+00 1.001920000000000033e-01
2.380511633989971787e-01 2.613788999999999696e+00 9.701999999999999513e-02
2.392916592999820569e-01 2.620199999999999640e+00 1.003779999999999950e-01
2.405311516569660357e-01 2.623376000000000374e+00 1.036800000000000083e-01
2.417694072639517133e-01 2.626616999999999980e+00 1.037440000000000029e-01
2.430109514564870732e-01 2.633105000000000029e+00 1.038720000000000060e-01
2.442508765254815806e-01 2.636414999999999953e+00 1.006879999999999997e-01
2.454889366064740286e-01 2.642914999999999459e+00 1.008119999999999988e-01
2.467297913138041254e-01 2.646104999999999929e+00 1.041279999999999983e-01
2.479683748661994369e-01 2.649359999999999715e+00 1.041919999999999930e-01
2.492094378667759624e-01 2.652679999999999705e+00 1.009980000000000044e-01
2.504478081670532541e-01 2.659199999999999786e+00 1.011220000000000036e-01
2.516883283593506215e-01 2.662462999999999358e+00 1.011839999999999962e-01
2.529257189577717724e-01 2.665727999999999653e+00 1.012460000000000027e-01
2.541701259391138112e-01 2.665727999999999653e+00 1.012460000000000027e-01
2.554057915151197178e-01 2.668994999999999340e+00 1.013079999999999953e-01
2.566482175849214564e-01 2.675595999999999641e+00 9.815999999999998338e-02
2.578866972421318127e-01 2.678927999999999976e+00 9.494600000000000262e-02
2.591263557445601662e-01 2.682202999999999893e+00 9.500400000000000511e-02
2.603670539765634007e-01 2.685420999999999836e+00 9.833999999999999686e-02
2.616086498704444097e-01 2.691980999999999735e+00 9.845999999999999197e-02
2.628454259764674839e-01 2.695322999999999691e+00 9.523600000000000121e-02
2.640883263037823170e-01 2.695322999999999691e+00 9.523600000000000121e-02
2.653260019112322343e-01 2.698665000000000092e+00 9.200800000000000645e-02
2.665638704702005812e-01 2.701951999999999909e+00 9.206399999999999306e-02
2.678075588238718607e-01 2.705241000000000007e+00 9.212000000000000743e-02
2.690453907798965316e-01 2.708531999999999940e+00 9.217599999999999405e-02
2.702829338879920162e-01 2.711879999999999846e+00 8.893800000000000316e-02
2.715259678356176098e-01 2.718525000000000080e+00 8.574799999999999089e-02
2.727624847279720988e-01 2.721823999999999799e+00 8.579999999999998739e-02
2.740042596147975185e-01 2.725125000000000242e+00 8.585199999999999776e-02
2.752451713466527172e-01 2.728427999999999631e+00 8.590399999999999425e-02
2.764850421093586474e-01 2.731733000000000189e+00 8.595599999999999075e-02
2.777236911343317627e-01 2.735090999999999717e+00 8.269999999999999574e-02
2.789672113965883105e-01 2.738400000000000389e+00 8.275000000000000411e-02
2.802029186247959602e-01 2.741711000000000009e+00 8.279999999999999860e-02
2.814432329991140014e-01 2.745024000000000353e+00 8.285000000000000697e-02
2.826816858939801835e-01 2.748387999999999387e+00 7.958400000000000196e-02
2.839245842106341566e-01 2.751752000000000198e+00 7.631400000000000683e-02
2.851653420881818390e-01 2.755071000000000048e+00 7.635999999999999732e-02
2.864037593742197463e-01 2.761715000000000142e+00 7.645199999999999219e-02
2.876463063663775577e-01 2.764993000000000034e+00 7.982400000000000606e-02
2.888862189130427804e-01 2.768319999999999670e+00 7.987199999999999855e-02
2.901232887167420338e-01 2.771696000000000382e+00 7.659000000000000530e-02
2.913641516064665593e-01 2.775027000000000132e+00 7.663599999999999579e-02
2.926018630568987255e-01 2.778312999999999811e+00 8.001600000000000379e-02
2.938431706714217939e-01 2.778312999999999811e+00 8.001600000000000379e-02
2.950810087181372499e-01 2.781647999999999676e+00 8.006399999999999628e-02
2.963222375973320610e-01 2.784984999999999822e+00 8.011200000000000265e-02
2.975596693620844446e-01 2.788371000000000155e+00 7.681999999999999940e-02
2.988002781922680651e-01 2.788371000000000155e+00 7.681999999999999940e-02
3.000440139226071001e-01 2.791665000000000063e+00 8.020800000000000152e-02
3.012835036768558572e-01 2.795007999999999715e+00 8.025599999999999401e-02
3.025185131590369947e-01 2.795055000000000067e+00 7.691199999999999426e-02
3.037636893206088762e-01 2.798445000000000071e+00 7.361199999999999688e-02
3.050041511269365180e-01 2.801791999999999838e+00 7.365599999999999925e-02
3.062396567531979197e-01 2.801747000000000209e+00 7.700399999999998912e-02
3.074775870671817568e-01 2.805096000000000256e+00 7.705000000000000737e-02
3.087178791192941585e-01 2.808491999999999766e+00 7.374399999999999011e-02
3.099604685827492823e-01 2.808535000000000004e+00 7.039199999999999624e-02
3.111974785600253868e-01 2.811929000000000123e+00 6.708000000000000074e-02
3.124365280676856815e-01 2.815242999999999718e+00 7.047599999999999698e-02
3.136775475208716246e-01 2.818600000000000438e+00 7.051800000000001123e-02
3.149204659210051438e-01 2.821958999999999662e+00 7.055999999999999772e-02
3.161571486972146738e-01 2.825361000000000011e+00 6.724000000000000810e-02
3.173954571668835545e-01 2.828723999999999794e+00 6.727999999999999259e-02
3.181039291694881532e-01 2.832048000000000343e+00 7.068600000000001271e-02
3.186353150345653251e-01 2.832048000000000343e+00 7.068600000000001271e-02
3.211193665710947998e-01 2.835414999999999797e+00 7.072799999999999920e-02
3.223550190658304726e-01 2.835414999999999797e+00 7.072799999999999920e-02
3.236002177613919728e-01 2.838825000000000376e+00 6.740000000000000158e-02
3.248380513338390840e-01 2.842195999999999945e+00 6.743999999999999995e-02
3.260768151726579078e-01 2.845569000000000237e+00 6.747999999999999832e-02
3.273164218514208468e-01 2.845528000000000279e+00 7.085400000000000031e-02
3.285567824705843409e-01 2.848902999999999963e+00 7.089600000000000068e-02
3.297978066529225760e-01 2.852360000000000451e+00 6.418200000000000294e-02
3.310394025394486905e-01 2.855738999999999805e+00 6.421999999999999931e-02
3.322814767858379148e-01 2.855699999999999683e+00 6.759999999999999343e-02
3.335149628328170079e-01 2.859081000000000206e+00 6.764000000000000568e-02
3.347576408270100390e-01 2.862463999999999675e+00 6.768000000000000405e-02
3.360005079487797253e-01 2.862502999999999798e+00 6.429599999999999205e-02
3.372342919436956965e-01 2.865888000000000435e+00 6.433400000000000230e-02
3.384771701695323820e-01 2.869275000000000020e+00 6.437199999999999867e-02
3.397199348780680639e-01 2.869235999999999898e+00 6.776000000000000079e-02
3.409531059099650818e-01 2.872625000000000206e+00 6.779999999999999916e-02
3.421952622905158337e-01 2.876015999999999906e+00 6.783999999999999753e-02
3.434369890947611137e-01 2.879409000000000329e+00 6.788000000000000977e-02
3.446781780687211971e-01 2.879409000000000329e+00 6.788000000000000977e-02
3.459187194718478797e-01 2.882762999999999742e+00 7.131600000000000439e-02
3.471585020806958188e-01 2.882762999999999742e+00 7.131600000000000439e-02
3.483974131933001428e-01 2.886160000000000281e+00 7.135800000000000476e-02
3.496353386342734848e-01 2.886160000000000281e+00 7.135800000000000476e-02
3.508721627606399274e-01 2.886160000000000281e+00 7.135800000000000476e-02
3.521177684050430523e-01 2.889515999999999529e+00 7.479999999999999150e-02
3.533521073674752433e-01 2.889515999999999529e+00 7.479999999999999150e-02
3.545951306537958314e-01 2.889515999999999529e+00 7.479999999999999150e-02
3.558367173696286301e-01 2.892917000000000183e+00 7.484399999999999387e-02
3.570767450984957958e-01 2.892917000000000183e+00 7.484399999999999387e-02
3.583150899748561158e-01 2.892917000000000183e+00 7.484399999999999387e-02
3.595516266946022776e-01 2.892872000000000554e+00 7.824599999999999611e-02
3.607967274854490536e-01 2.892872000000000554e+00 7.824599999999999611e-02
3.620293381408581923e-01 2.892917000000000183e+00 7.484399999999999387e-02
3.632703997453844980e-01 2.896363000000000021e+00 7.148400000000000587e-02
3.645092827456332674e-01 2.896363000000000021e+00 7.148400000000000587e-02
3.657566447374467900e-01 2.896363000000000021e+00 7.148400000000000587e-02
3.669908460605603717e-01 2.899768000000000345e+00 7.152600000000000624e-02
3.682334049097110706e-01 2.903175000000000061e+00 7.156800000000000661e-02
3.694733958133912810e-01 2.903216000000000019e+00 6.815999999999999837e-02
3.707106815162197755e-01 2.906625000000000458e+00 6.820000000000001061e-02
3.719562818621177658e-01 2.906584000000000501e+00 7.161000000000000698e-02
3.731878139635184111e-01 2.906584000000000501e+00 7.161000000000000698e-02
3.744275282611050359e-01 2.909994999999999887e+00 7.165200000000000735e-02
3.756755065694019069e-01 2.910035999999999845e+00 6.823999999999999511e-02
3.769089145253069484e-01 2.910035999999999845e+00 6.823999999999999511e-02
3.781504481443855870e-01 2.913449000000000400e+00 6.828000000000000735e-02
3.793885784366576308e-01 2.913449000000000400e+00 6.828000000000000735e-02
3.806348430697194529e-01 2.913408000000000442e+00 7.169400000000000772e-02
3.818657984264497984e-01 2.916863999999999901e+00 6.832000000000000572e-02
3.831165794237059163e-01 2.916863999999999901e+00 6.832000000000000572e-02
3.843517497461085841e-01 2.920281000000000127e+00 6.836000000000000409e-02
3.855949102229884740e-01 2.920281000000000127e+00 6.836000000000000409e-02
3.868340689310776903e-01 2.920240000000000169e+00 7.177800000000000846e-02
3.880690708100401065e-01 2.920281000000000127e+00 6.836000000000000409e-02
3.893119836502644260e-01 2.923738999999999866e+00 6.497999999999999610e-02
3.905505809648450732e-01 2.927160000000000206e+00 6.501800000000000634e-02
3.917847040166204664e-01 2.927160000000000206e+00 6.501800000000000634e-02
3.930266513443850807e-01 2.930543999999999816e+00 6.847999999999999921e-02
3.942639597834442511e-01 2.930543999999999816e+00 6.847999999999999921e-02
3.955090833006881246e-01 2.930543999999999816e+00 6.847999999999999921e-02
3.967493997859190547e-01 2.930582999999999938e+00 6.505600000000000271e-02
3.979847444326379824e-01 2.930582999999999938e+00 6.505600000000000271e-02
