# freqs(eV) eps1 eps2
2.764850421093586474e-01 2.666160000000000085e+00 7.511800000000000421e-02
2.777236911343317627e-01 2.669426999999999772e+00 7.516399999999999471e-02
2.789672113965883105e-01 2.672740999999999811e+00 7.193999999999999007e-02
2.802029186247959602e-01 2.676054999999999851e+00 6.871199999999999530e-02
2.814432329991140014e-01 2.679327999999999932e+00 6.875400000000000955e-02
2.826816858939801835e-01 2.682602999999999849e+00 6.879599999999999604e-02
2.839245842106341566e-01 2.689115999999999396e+00 7.215999999999998804e-02
2.851653420881818390e-01 2.692396999999999707e+00 7.220399999999999041e-02
2.864037593742197463e-01 2.695722999999999647e+00 6.896399999999999753e-02
2.876463063663775577e-01 2.699008000000000074e+00 6.900600000000001177e-02
2.888862189130427804e-01 2.698964999999999836e+00 7.229199999999999515e-02
2.901232887167420338e-01 2.702207000000000026e+00 7.562399999999999678e-02
2.913641516064665593e-01 2.705496000000000123e+00 7.567000000000000115e-02
2.926018630568987255e-01 2.708831999999999685e+00 7.242399999999998839e-02
2.938431706714217939e-01 2.708831999999999685e+00 7.242399999999998839e-02
2.950810087181372499e-01 2.708831999999999685e+00 7.242399999999998839e-02
2.963222375973320610e-01 2.712124999999999897e+00 7.246799999999999076e-02
2.975596693620844446e-01 2.712080000000000268e+00 7.576199999999999601e-02
2.988002781922680651e-01 2.715462999999999738e+00 6.921599999999999975e-02
3.000440139226071001e-01 2.718760000000000066e+00 6.925800000000000012e-02
3.012835036768558572e-01 2.722099999999999742e+00 6.600000000000000311e-02
3.025185131590369947e-01 2.725360000000000227e+00 6.934200000000000086e-02
3.037636893206088762e-01 2.725316999999999990e+00 7.264400000000000024e-02
3.050041511269365180e-01 2.725360000000000227e+00 6.934200000000000086e-02
3.062396567531979197e-01 2.728703999999999574e+00 6.607999999999999985e-02
3.074775870671817568e-01 2.732048000000000254e+00 6.281399999999999484e-02
3.087178791192941585e-01 2.732048000000000254e+00 6.281399999999999484e-02
3.099604685827492823e-01 2.735315999999999637e+00 6.615999999999999659e-02
3.111974785600253868e-01 2.738625000000000309e+00 6.620000000000000884e-02
3.124365280676856815e-01 2.741975000000000051e+00 6.292799999999999783e-02
