# freq(eV) epsO1 epsO2 epsE1 epsE2
1.153815371267483014e+00 3.299571458817640135e+00 2.320967317574189615e+00 3.914589656538650875e+00 5.958865428777073703e+00
1.158060337484093205e+00 3.286331971840912747e+00 2.317442334088004152e+00 3.838070540149414178e+00 5.987503520732750495e+00
1.162305303700703396e+00 3.273102384214658045e+00 2.314286590633536811e+00 3.761457639656231589e+00 6.016171509628537528e+00
1.166550269917313365e+00 3.259872796588403787e+00 2.313297212680688553e+00 3.684849980602100228e+00 6.044837168295154051e+00
1.170795236133923556e+00 3.245730084875777521e+00 2.314210281512362410e+00 3.608324006432223285e+00 6.073475260250830843e+00
1.175040202350533747e+00 3.229653112750932031e+00 2.316152549423630802e+00 3.531803816111057870e+00 6.102113352206508523e+00
1.179285168567143938e+00 3.205754287200725194e+00 2.318097880398486410e+00 3.455284699721823394e+00 6.130748802532836272e+00
1.183530134783754129e+00 3.181835013064452156e+00 2.320040818749666833e+00 3.378765583332586697e+00 6.159380036707872819e+00
1.187775101000364320e+00 3.157910336887713054e+00 2.321983125025363748e+00 3.302125320286302568e+00 6.147894538296477585e+00
1.192020067216974288e+00 3.134011511337506661e+00 2.323928456000219800e+00 3.225537092072700229e+00 6.128030045022827110e+00
1.196265033433584479e+00 3.110112685787299824e+00 2.325869306607463827e+00 3.148984902279112763e+00 6.102306420932456454e+00
1.200509999650194670e+00 3.086208456230605801e+00 2.327809652836287935e+00 3.069914691491525627e+00 6.076576027968448201e+00
1.204754965866804639e+00 3.062278630902271370e+00 2.329758052156530201e+00 2.986092699819229423e+00 6.050849439472723468e+00
1.208999932083414830e+00 3.038369909924082179e+00 2.331699811502661923e+00 2.898442763711907677e+00 6.025121884717008491e+00
1.213244898300025021e+00 3.014464114475411183e+00 2.333639022881714542e+00 2.810658510882976469e+00 5.999356725690300429e+00
1.217489864516635212e+00 2.990527593616765678e+00 2.335580726671647067e+00 2.722969517515214655e+00 5.973613842219037906e+00
1.221734830733245403e+00 2.966621755841544861e+00 2.337524938178542566e+00 2.635333938707362655e+00 5.947884701000964114e+00
1.225979796949855594e+00 2.942728308510655033e+00 2.339048183460794572e+00 2.547698359899507548e+00 5.922161165817595219e+00
1.230224763166465562e+00 2.918829482960449528e+00 2.338834263903422084e+00 2.459960067145205098e+00 5.896407481169235965e+00
